verb,sentence,verb_idx,label,definition
plant,"A bomb would have required '' a bribable '' Pakistani soldier or officer to plant it , an administration official said",14,1,to place firmly or forcibly
drink,Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come '' alive in the morning . ',15,0,"swallow , imbibe"
touched,The failure of a rocket joint touched off the January 1986 explosion that killed the seven Challenger astronauts,6,0,to have an influence on : affect
raining,The recent Iraqi chemical attack on civilians in the town of Halabja combined with the Iraqi missiles raining on Iranian cities have left Tehranis petrified about possible Iraqi chemical attacks on Tehran,17,1,to fall like rain
examining,"The House panel is examining whether Rep. Wright 's 55 % royalties from his book '' Reflections of a Public Man '' amounted to improper conversion of campaign funds to personal use ; the publisher was paid more than $ 250 , 000 by Mr. Wright 's political committees in 1985 and 1986 for campaign work",4,1,to inquire into carefully : investigate
destroyed,He arrived in the U.S. last month after bulldozers and jackhammers destroyed his 80-year - old house in central Bucharest,11,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
eat,"But the overwhelming mass of Soviet people eat dinner at home , after wasting millions of hours in line buying dreadful food , barely seeing a green vegetable in a state grocery all winter -LRB- although the citrus situation is vastly improved from what it once was -RRB-",7,0,to take food or a meal
drink,Others say they still can drink wine even after their livers are too far gone to handle spirits,5,0,"swallow , imbibe"
raining,"'' It 's raining proposals , not moisture , '' says Sen. Tom Daschle , Democrat of South Dakota",3,1,water falling in drops condensed from vapor in the atmosphere
smooth,"But however microscopically small the particle size and smooth the consistency , this product is still 100 % egg white or milk protein",8,0,having a continuous even surface
stepped,"Mr. Dill , 48 years old , succeeds Donald K. Thostenson , 53 , who stepped down for health reasons",15,1,to be on one's way : leave
planting,"Similarly , Victor Munoz , a Chihuahua - born U.S. labor leader , credits the PAN for planting the seeds of democracy",17,1,to put or set in the ground for growth
eating,"They should be eating chocolate cake , instead they are bleeding from their souls . '",3,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
ride,"A letter from Mayor Ed Koch went out early this month to chief executives of 11 , 000 companies , urging them to reduce the city 's traffic woes by encouraging employees to ride subways",33,0,to travel on
pumped,"In the year ended March 31 , North Sea oil pumped # 8.2 billion into government coffers",10,1,"to pour forth, deliver, or draw with or as if with a pump"
destroyed,"Tropical storm Chris spawned tornadoes that damaged houses , destroyed mobile homes and caused at least one death in the Carolinas before gradually weakening",9,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
stepped,"The KGB , he says , stepped in on his behalf , but all it could offer was an apartment , where he now lives , in a defense ministry complex",6,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
drinking,"Now , the pock - marked nightspot is crowded with men drinking arak liquor and slapping dominoes and backgammon pieces on rickety tables",11,0,"swallow , imbibe"
smooths,"While Abideen reminisces , Abegi 's son smooths the sand to make a table and serves the simple , traditional meal that is all their hard life affords : a flat cake of mixed grains and a drink made of crumbled goat cheese , crushed dates and water",7,0,to press flat
step,Judge Pollack 's refusal to step aside voluntarily sets the stage for a new round of legal battles between defense attorneys and the judge,5,1,to be on one's way : leave
targeting,"Heinz is targeting such countries as Germany , France and Portugal for growth in anticipation of the European Community 's plan to eliminate trade barriers within the 12-nation trading bloc by the end of 1992 , the spokesman added",2,1,to direct or use toward a target
killed,Officials in West Germany prepared for today 's start of a trial of a Shiite Moslem for the 1985 hijacking of a TWA jet in which a U.S. sailor was killed,30,0,to deprive of life : cause the death of
poured,"In recent years , Drexel has poured far more resources into areas such as high - yield , '' junk '' bonds , merger and acquisition advice and mortgage - backed securities",6,1,to supply or produce freely or copiously
killed,'' Fat and cowardly generals had a good chance of being kicked out ; company commanders who were n't any good have either been kicked out or killed in battle,27,0,to deprive of life : cause the death of
